,Covidence #,Study ID,Title,Reviewer Name,Title,"Author, Year",Study Design,Population description,Geographic location,Focused on a vulnerable population?,Health categories,Climate categories,Policy/Intervention Level,3 Words about Policy/Intervention,Data Sources,Notes
,4927,Orengo-Aguayo 2019,Disaster Exposure and Mental Health Among Puerto Rican Youths After Hurricane Maria.,Consensus,Disaster Exposure and Mental Health Among Puerto Rican Youths After Hurricane Maria.,Orengo-Aguayo 2019,Research study,ublic school student at all schools in Puerto Rico b,Puerto Rico ,Socially-vulnerable (e.g. low wealth),Mental health,Storm; Other: Hurricane,None,no specific policy,,"youths reported high levels of PTSD and
depressive symptoms after the hurricane."
,4889,Lenane 2019,Association of Post-Traumatic Stress Disorder Symptoms Following Hurricane Katrina With Incident Cardiovascular Disease Events Among Older Adults With Hypertension.,Consensus,Association of Posttraumatic Stress Disorder Symptoms following Hurricane Katrina with Incident Cardiovascular Disease Events among Older Adults with Hypertension,"Lenane, 2019",Research study,Community-dwelling older adults without a history of CVD and enrolled in cohort study,US,Elderly ,Mental health,Storm,None,,,"Demonstrates the connection between PTSD symptoms in older adults after Hurricane Katrina and rates of CVD, especially among black communities."
,3090,Vega 2023,Community Corrections Officers' Perspectives of the Impact of Hurricane Maria on the Participant's Mental Health and Substance Use: A Qualitative Content Analysis.,Consensus,Community Corrections Officers’ Perspectives of the Impact of Hurricane Maria on the Participant’s Mental Health and Substance Use: a Qualitative Content Analysis,"Graciela Vega, 2023",Research study,"Persons on parole or probation 
(PoPP)",Puerto Rico,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,Federal; State; Other: Community correctional officers,,,
,4861,Karaye 2020,Self-Rated Mental and Physical Health of U.S. Gulf Coast Residents.,Consensus,Self-Rated Mental and Physical Health of U.S. Gulf Coast Residents,"Ibraheem M Karaye, 2020",Research study,3030 residents of the U.S. Gulf Coast,United States,No,Physical activity; Mental health,Flood; Storm; Water contamination; Food contamination,None,,,
,4849,Leibel 2020,Increase in Pediatric Respiratory Visits Associated with Santa Ana Wind-Driven Wildfire Smoke and PM<ovid:sub>2.5</ovid:sub> Levels in San Diego County.,Consensus,"Increase in Pediatric Respiratory Visits Associated with Santa Ana Wind-Driven Wildfire Smoke and PM<ovid:sub>2.5</ovid:sub> Levels in San Diego County.
",Leibel 2020,Research study,pediatric patients at the Rady Children's Hospital (RCH) emergency department and urgent care (UC) clinics.,San Diego County,Children,Pulmonary,Fire; Air quality,None,-,,he Lilac Fire was associated with 16 excess respiratory visits per day at the RCH emergency department across all pediatric age groups in a patterned geographic distribution that is attributable to an increase in PM2.5 exposure. 
,9801,Hsieh 2021,"Asthma and Particulate Matter Pollution: Insights from Health Survey and Air Quality Monitoring in the Buzzard Point, Washington, DC Neighborhood",Consensus,"Asthma and Particulate Matter Pollution: Insights from Health Survey and Air Quality Monitoring in the Buzzard Point, Washington, DC Neighborhood","Hsieh, 2021",Research study,Inhabitants of Buzzard Point,"Washington, DC USA",Socially-vulnerable (e.g. low wealth),Pulmonary,Air quality,Local,Neighborhood centered monitoring,,"Demonstrates that high-level air quality monitoring can miss short-duration events that cause residents concern, and shows effectiveness of a neighborhood level policy approach. "
,4819,Jones 2020,Out-of-Hospital Cardiac Arrests and Wildfire-Related Particulate Matter During 2015-2017 California Wildfires.,Consensus,Out-of-Hospital Cardiac Arrests and Wildfire-Related Particulate Matter During 2015–2017 California Wildfires,"Jones, 2020",Research study,"5336 people experiencing cardiac
arrest in 14 counties, 2015–2017 ",CA,No,Cardiovascular,Fire; Air quality,None,,Cardiac Arrest Registry to Enhance Survival,"Out-of-hospital cardiac arrest risk increased in association with heavy smoke across multiple lag days, strongest on lag day 2 "
,4799,Zhang 2020,How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms.,Consensus,How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms,"Zhang, 2020",Research study,Residents,downstate New York,No,Cardiovascular; Pulmonary; Mental health,Storm,None,,,
,4754,Long 2020,The Potential Unique Impacts of Hope and Resilience on Mental Health and Well-Being in the Wake of Hurricane Harvey.,Consensus,The Potential Unique Impacts of Hope and Resilience on Mental Health and Well-Being in the Wake of Hurricane Harvey.,Long 2020,Research study; Other: cross-sectional study,Most participants were college students at the University of Houston–Clear Lake," the Greater Houston, Texas area.",No,Mental health,Other: hurricane,None,,,"the results of the present study demonstrated that both resilience and hope were associated with positive adaptation 1–3 months after Hurricane Harvey, including higher levels of WB and lower levels of PTSD symptoms. "
,4750,Rowland 2020,Can ultra short-term changes in ambient temperature trigger myocardial infarction?.,Consensus,Can ultra short-term changes in ambient temperature trigger myocardial infarction?,"Rowland, 2020",Research study,Adult residents,"NY, USA",No,Cardiovascular,Heat,None,,New York Department of Health Statewide Planning and Research Cooperative System dataset,Establishes that short-term increases in hourly ambient temperature can trigger myocardial infarction to inform preparedness strategy and policy.
,9527,Baggerly 2022,Cultural adaptations for disaster response for children in Puerto Rico after Hurricane María,Consensus,Cultural adaptations for disaster response for children in Puerto Rico after Hurricane María,"Baggerly, 2019",Editorial comment piece,children in Puerto Rico,PR,Children,Mental health,Storm,Local,"culturally specific, field-tested preparation and procedures to promote Puerto Rican children’s mental health after disasters","Psychological First Aid Field Manual (Primeros
Auxilios Psicológicos Guía de Operaciones Prácticas 2da edición); Parent Guidelines (Guia Para Los
Padres: Para Ayudar A Los Ninos Despues De Un Huracan); After the Hurricane: Helping Young
Children Heal (Después de Pasar por La Experiencia de Un Huracán: Ayudando a Nuestros Niños a
Sanar); and Trinka and Sam: The rainy windy day (Trinka y Juan: On un día de mucho viento y lluvia)
children’s story.",
,4741,Kilmer 2020,Associations between children's self-system functioning and depressive and posttraumatic stress symptoms following disaster.,Consensus,Associations between children's self-system functioning and depressive and posttraumatic stress symptoms following disaster.,"Kilmer, 2020",Research study,6-10 year olds affected by Hurricane Katrina,Louisiana and Mississippi,Children,Mental health,Storm,None,,,Demonstrates importance of incorporating socioemotional variables into interventions pre- and post- disaster.
,4725,Lowe 2020,A Life-Course Model of Trauma Exposure and Mental Health Among Low-Income Survivors of Hurricane Katrina.,Consensus,A Life-Course Model of Trauma Exposure and Mental Health Among Low-Income Survivors of Hurricane Katrina,"Lowe, 2020",Research study,"Non-Hispanic, low-income, Black mothers exposed to Hurricane Katrina",Hurricane Katrina areas,Socially-vulnerable (e.g. low wealth),Mental health,Storm,None,,Resilience in Survivors of Katrina study,Demonstrates the importance of incorporating disaster preparedness into clinical work with survivors and giving attention to potentially traumatic events.
,4724,Lichtveld 2020,"A Community-Based Participatory Research Approach to Hurricane Katrina: When Disasters, Environmental Health Threats, and Disparities Collide.",Consensus,"A Community-Based Participatory Research Approach to Hurricane Katrina: When Disasters, Environmental Health Threats, and Disparities Collide","Lichtveld, 2020",Other: Evaluation of past study,Children aged 4-12 with asthma,Louisiana,Children,Pulmonary,Storm,None,,,Evaluation of a community-based intervention after Katrina addressing environmental concerns and asthma.
,9500,Newman 2022,"The relationships between neighbourhood vacancy, probable PTSD, and health-related quality of life in flood-disaster-impacted communities",Consensus,"The relationships between neighbourhood vacancy, probable PTSD, and health-related quality of life in flood-disaster-impacted
communities","Newman, 2022",Research study,257 households,"Houston, TX",No,Mental health,Flood,Local,vacancy rates,,significant relationships between higher neighbourhood vacancy and elevated risks of PTSD and impaired HRQOL
,4693,Mazidi 2020,Predicted impact of increasing average ambient temperature over the coming century on mortality from cardiovascular disease and stroke in the USA.,Consensus,Predicted impact of increasing average ambient temperature over the coming century on mortality from cardiovascular disease and stroke in the USA,"Mohsen Mazidi, 2020",Research study,,US mainland,,Cardiovascular,Heat,None,,,Climate modeling and expected related-mortality
,4680,Lowe 2020,Predisaster predictors of posttraumatic stress symptom trajectories: An analysis of low-income women in the aftermath of Hurricane Katrina.,Consensus,Predisaster predictors of posttraumatic stress symptom trajectories: An analysis of low-income women in the aftermath of Hurricane Katrina,"Sarah R. Lowe, 2020",Research study,,,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,None,Disaster preparedness ,"22-item Impact of Events Scale-Revised, Social Provisions Scale (SPS)",
,9171,Lanza 2023,Heat vulnerability of Latino and Black residents in a low-income community and their recommended adaptation strategies: A qualitative study,Consensus,Heat vulnerability of Latino and Black residents in a low-income community and their recommended adaptation strategies: A qualitative study,"Lanza, 2023",Research study,"18 economically disadvantaged adults (female = 17, Latino = 16, Black = 2) in an area with high urban heat island intensity","Austin, Texas",Socially-vulnerable (e.g. low wealth),Pulmonary; Physical activity; Mental health,Heat,Local,"recommended adding trees, shade structures, parks, pools, splash pads, and drinking fountains",,"heat exposure was only mentioned outdoors (active transportation, outdoor work, recreation); adjusting to heat 
included staying home, drinking liquids, changing schedules, and using air conditioning; barriers to adjusting to heat were lack of trees, shade, greenspace, and bluespace, along with electricity cost and power outages."
,9064,Cruz-López 2024,Universal Behavioral Screening: Inclusion of Student’s Trauma Symptoms and Hurricane Exposure,Consensus,"Universal Behavioral Screening: Inclusion of
Student’s Trauma Symptoms and Hurricane Exposure","Irmarie, 2024",Research study,Students,Southeastern United States,Children,Mental health,Storm,Local,School screenings,,
,8048,Covert 2020,"Environmental health risk relationships, responsibility, and sources of information among Vietnamese Americans in coastal Mississippi",Consensus,"Environmental health risk relationships, responsibility, and sources of information among Vietnamese Americans in coastal Mississippi","Covert, 2020",Research study,Vietnamese American,"Biloxi, Mississippi",Socially-vulnerable (e.g. low wealth),Pulmonary,Air quality; Water contamination,Local,Community-based org led interventions,,
,4566,Cowlishaw 2021,Anger Dimensions and Mental Health Following a Disaster: Distribution and Implications After a Major Bushfire.,Consensus,Anger Dimensions and Mental Health Following a Disaster: Distribution and Implications After a Major Bushfire,"Cowlishaw, 2021",Research study,Residents of rural communities in the area of Black Saturday bushfires in Australia ,"Victoria, Australia",No,Mental health,Fire,None,,,"Examines the relationship between climate events, anger, and other negative mental health outcomes."
,8045,Brennan 2020,Preventative strategies and interventions to improve outcomes during heatwaves,Consensus,"Preventative strategies and interventions
to improve outcomes during heatwaves","Brennan, 2020",Editorial comment piece,older adults,US,Elderly ,"Other: morbidity, mortality",Heat,Local,"Heatwave early warning systems; Eco-city planning; Building design; Anticipatory clinical measures; Prevention of dehydration in vulnerable subgroups; 
Identification and management of heat-related illness",,
,6044,Chen 2023,Canadian Wildfire Smoke and Asthma Syndrome Emergency Department Visits in New York City,Consensus,Canadian Wildfire Smoke and Asthma Syndrome Emergency Department Visits in New York City,"Chen, 2023",Research study,New York City Residents,New York City,No,Pulmonary,Fire; Air quality,Local,Communication,US Environmental Protection Agency,
,5217,Vana 2024,28.1 Air Quality and Children's Mental Health: Purple Air and Purple Mood,Consensus,Air Quality and Children's Mental Health: Purple Air and Purple Mood/Journal of the American Academy of Child and Adolescent Psychiatry ,"Vana, 2024",Editorial comment piece,Children ,US and international,Children,Cardiovascular; Pulmonary; Mental health,Air quality,Local,Psychiatrists advocate for change ,,
,4407,Rice 2021,Respiratory Impacts of Wildland Fire Smoke: Future Challenges and Policy Opportunities. An Official American Thoracic Society Workshop Report.,Consensus,"Respiratory Impacts of Wildland Fire Smoke: Future Challenges and
Policy Opportunities",Rice 2021,Research study,US,US,Children; Pregnant persons/ people of childbearing age; Elderly ; Workers; Socially-vulnerable (e.g. low wealth),Pulmonary,Fire; Air quality,None,,NA,"Assessment framework for wildfire, ideas for communication for clinicians and public health agencies"
,4396,Brumberg 2021,Ambient Air Pollution: Health Hazards to Children.,Consensus,"Ambient Air Pollution: Health Hazards
to Children","Brumberg, 2021",Other: American Academy of Pediatrics Policy Statement,Children,US,Children,Pulmonary,Air quality,None,,,Policy recommendations for all levels to mitigate air pollution and harm is causes to children.
,5054,Connerton 2019,Building Community Resilience to Mitigate Mental Health Effects of Climate Change.,Consensus,Building Community Resilience to Mitigate Mental Health Effects of Climate Change,"Connerton, 2019",Editorial comment piece,Individuals,US,No,Cardiovascular; Pulmonary; Mental health,Heat; Air quality; Water contamination; Food contamination,Local,Community Infrastructure,,
,5050,Schwartz 2019,Examining Associations Between Hurricane Sandy Exposure and Posttraumatic Stress Disorder by Community of Residence.,Consensus,Examining Associations Between Hurricane Sandy Exposure and Posttraumatic Stress Disorder by Community of Residence,"Schwartz, 2019",Systematic review; Research study,Residents,"lower Manhattan, Queens, Long Island, Staten Island, and the Rockaways",Socially-vulnerable (e.g. low wealth),Mental health,Storm,Local,Promote Resilience,,
,4842,Bevilacqua 2020,Understanding Associations Between Hurricane Harvey Exposure and Mental Health Symptoms Among Greater Houston-Area Residents.,Consensus,Understanding Associations Between Hurricane Harvey Exposure and Mental Health Symptoms Among Greater Houston-Area Residents,"Bevilacqua, 2020",Research study,Residents,greater Houston area,No,Mental health,Storm,Local,disaster response programs,,
,4293,Baudon 2021,A Scoping Review of Interventions for the Treatment of Eco-Anxiety.,Consensus,"
A Scoping Review of Interventions for the Treatment of
Eco-Anxiety","
Pauline Baudon and Liza Jachens, 2021",Systematic review; Research study,US,US,No,Mental health,,None,Eco- Anxiety Treatment,"Academic Search Complete,
Business Source Complete, Military & Government Collection, APA PsycInfo, CINAHL
with Full Text, SocINDEX with Full Text, Environment Complete, Humanities International
Complete, Consumer Health Complete–EBSCOhost, Google Scholar, and ResearchGate","Ways to identify and treat eco-anxiety would be important for federal, state, and local governments. Would help with resilience ."
,4743,Johnson 2020,Assessing Air Quality and Public Health Benefits of New York City's Climate Action Plans.,Consensus,Assessing Air Quality and Public Health Benefits of New York City’s Climate Action Plans,"Johnson, 2020",Other: Policy analysis,,NYC,No,Cardiovascular; Pulmonary,Air quality,Local,NYC greenhouse gas emission policy ,,Analyzes current policies for climate change and public health benefits to inform future policy. 
,4269,Andrade 2021,The Impact of Natural Hazards on Older Adult Health: Lessons Learned From Hurricane Maria in Puerto Rico.,Consensus,The Impact of Natural Hazards on Older Adult Health: Lessons Learned From Hurricane Maria in Puerto Rico,"Andrade, 2021",Research study,,Puerto Rico,Elderly ,Mental health,Storm,None,Expanding local disaster training and preparation for older individuals and build local capacity,NA,This study provides local and state solutions to protect older individuals during hurricanes of increasing frequency and intensity.
,4222,Malig 2021,Examining fine particulate matter and cause-specific morbidity during the 2017 North San Francisco Bay wildfires.,Consensus,Examining fine particulate matter and cause-specific morbidity during the 2017 North San Francisco Bay wildfires,"Brian J Malig, 2021",Research study,People from nine San Francisco Bay Area counties,California,,Cardiovascular; Pulmonary,Fire; Air quality,None,,"daily county-level diagnosis-specific counts of emergency department visits (EDVs) and hospitalizations, county-level estimates of daily mean PM2.5 ",
,4211,Sun 2021,Ambient heat and risks of emergency department visits among adults in the United States: time stratified case crossover study.,Consensus,Ambient heat and risks of emergency department visits among adults in the United States: time stratified case crossover study,"Sun, 2021",Research study,All commercial and Medicare Advantage beneficiaries (74.2 million) aged 18 years and older between May and September 2010 to 2019,US,No,Cardiovascular; Pulmonary; Mental health,Heat,None,,,"heat was associated with higher risk of ED visits for mental health, but not cardiovascular or respiratory diseases"
,4210,Garske 2021,Space-Time Dependence of Emotions on Twitter after a Natural Disaster.,Consensus,Space-Time Dependence of Emotions on Twitter after a Natural Disaster,"Garske, 2021",Research study,NYC Twitter users in 2012,"NY, NY",No,Mental health,Flood; Storm,Local,used Twitter to assess emotions,American Community Survey; Federal Emergency Management Agency,clusters of emotional reactions during and in the aftermath of a large-scale disaster that could help provide guidance about where immediate and long-term relief measures are needed the mos
,4124,Corley 2022,Mental Health Effects of Hurricane Sandy on Older Adults.,Consensus,Mental Health Effects of Hurricane Sandy on Older Adults,"Corley, 2022",Research study,Residents,New York City and Long Island,Elderly ,Mental health,Storm,Local,Emergency Preparedness,,
,3965,Persad-Clem 2022,"Climate to COVID, global to local, policies to people: a biopsychosocial ecological framework for syndemic prevention and response in behavioral medicine.",Consensus,"Climate to COVID, global to local, policies to people: a biopsychosocial ecological framework for syndemic prevention and response in behavioral medicine",Persad-Clem 2022,Editorial comment piece,"Case examples from South Seattle, Washington",,Socially-vulnerable (e.g. low wealth),,,Local,,,
,4155,Gioda 2022,"A Review on Atmospheric Analysis Focusing on Public Health, Environmental Legislation and Chemical Characterization.",Consensus,"A Review on Atmospheric Analysis Focusing on Public Health, Environmental Legislation and Chemical Characterization","Gioda, 2022",Systematic review,,Global,No,Pulmonary,Air quality,None,,,Compiles valuable data on air pollution and human involvement with a focus on data analysis tools for policymakers. 
,3961,Hu 2022,Evaluation of climate change adaptation measures for childhood asthma: A systematic review of epidemiological evidence.,Consensus,Evaluation of climate change adaptation measures for childhood asthma: A systematic review of epidemiological evidence,"Hu, 2022",Systematic review,Children,Worldwide,Children,Pulmonary,Air quality,Local,Warning systems and personal protections,,
,3877,Palinkas 2022,"Vulnerable, Resilient, or Both? A Qualitative Study of Adaptation Resources and Behaviors to Heat Waves and Health Outcomes of Low-Income Residents of Urban Heat Islands.",Consensus,"Vulnerable, Resilient, or Both? A Qualitative Study of Adaptation Resources and Behaviors to Heat Waves and Health Outcomes of Low-Income Residents of Urban Heat Islands","Palinkas, 2022",Research study,40 parents of middle and high school students participating in the University of Southern California’s (USC) McMorrow Neighborhood Academic Initiative,"Los Angeles, CA",No,Pulmonary; Mental health,Heat,Local,"availability of AC, transportation to cooler spaces, social support networks",,
,4100,Humphreys 2022,"What can we do when the smoke rolls in? An exploratory qualitative analysis of the impacts of rural wildfire smoke on mental health and wellbeing, and opportunities for adaptation.",Consensus,"What can we do when the smoke rolls in? An exploratory qualitative analysis of the impacts of rural wildfire smoke on mental health and wellbeing, and opportunities for adaptation","Humphreys, 2022",Research study,,"Methow Valley (MV) in Okanogan County, Washington",No,Mental health,Fire,None,,,"Participants identified a variety of negative mental health and wellbeing impacts of wildfire events, including heightened anxiety, depression, isolation, and a lack of motivation, as well as physical health impacts (e.g., respiratory issues and lack of exercise"
,4060,Sheehan 2022,2021 Climate and Health Review - Uncharted Territory: Extreme Weather Events and Morbidity.,Consensus,"2021 Climate and Health Review - Uncharted Territory: Extreme Weather Events and Morbidity./Extreme weather events (EWEs) affected health in every world region during 2021, placing the planet in “uncharted territory.” Portraying the human impacts of EWEs is part of a health frame that suggests public knowledge of these risks will spur support for needed policy change. The health frame has gained traction since the Paris COP21 (United Nations Climate Change Conference) and arguably helped to achieve modest progress at the Glasgow COP26. However, reporting rarely covers the full picture of health impacts from EWEs, instead focusing on cost of damages, mortality, and displacement. This review summarizes data for 30 major EWEs of 2021 and, based on the epidemiological literature, discusses morbidity-related exposures for four hazards that marked the year: wildfire smoke; extreme cold and power outages; extreme, precipitation-related flooding; and drought. A very large likely burden of morbidity was found, with particularly widespread exposure to risk of respiratory outcomes (including interactions with COVID-19) and mental illnesses. There is need for a well-disseminated global annual report on EWE morbidity, including affected population estimates and evolving science. In this way, the public health frame may be harnessed to bolster evidence for the broader and promising frame of “urgency and agency” for climate change action./ International Journal of Social Determinants of Health and Health Services ","Sheehan, 2022",Editorial comment piece; Systematic review; Economic analysis,,,No,Other: Morbidity ,Flood; Drought; Air quality,None,,,Summarizes 30 major EWEs of 2021 and discusses deaths related to these events 
,4052,Hwong 2022,"Climate change and mental health research methods, gaps, and priorities: a scoping review.",Consensus,"Climate change and mental health research methods, gaps, 
and priorities: a scoping review","Alison R Hwong, 2022",Systematic review,,Global,No; People w/pre-existing condition ,Mental health,Heat; Flood; Drought; Storm; Air quality,None,,,
,4022,Nori-Sarma 2022,"Association Between Ambient Heat and Risk of Emergency Department Visits for Mental Health Among US Adults, 2010 to 2019.",Consensus,"Association Between Ambient Heat and Risk of Emergency Department Visits for Mental Health Among US Adults, 2010 to 2019","Nori-Sarma, 2022",Research study,Adults over 18 with commercial or Medicare Advantage insurance ,US,No,Mental health,Heat,None,,,Evaluates emergency department visits to show an increase in mental health admissions during extreme heat to inform health services and preparation efforts. 
,3789,Blackburn 2022,"The lingering impact of Hurricane Katrina: Examining the physical health, mental health, and racial equity impacts of disaster response.",Consensus,"The lingering impact of Hurricane Katrina: Examining the physical health, mental health, and racial equity impacts of disaster response","Blackburn, 2021",Research study,Residents,New Orleans,No,Mental health,Storm,Local,disaster response,,
,3998,Parks 2022,Association of Tropical Cyclones With County-Level Mortality in the US.,Consensus,Association of Tropical Cyclones With County-Level Mortality in the US,"Parks, 2022",Research study,Residents who experienced tropical cyclone,US,No,Cardiovascular; Pulmonary,Storm,None,,,Found increased deaths associated with areas that experienced tropical cyclones.
,3587,Dumont 2023,Mapping Heat Vulnerability of a Community Mental Health Center Population.,Consensus,Mapping Heat Vulnerability of a Community Mental Health Center Population,"Dumont, 2023",Research study,Patients,Greater New Haven,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Mental health,Heat,Local,Community based wellness,,
,3425,Crane 2022,"Climate Change and Mental Health: A Review of Empirical Evidence, Mechanisms and Implications.",Consensus,"Climate Change and Mental Health: A Review of Empirical Evidence, Mechanisms and Implications","Crane, 2022",Systematic review,Individuals,Worldwide,No,Mental health,Heat; Storm; Fire,Local,Find pathways of action,,
,3942,Morales-Gomez 2022,Burnout and Self-Perceived Stress in Workers in Essential Services after the Impact of Hurricanes Irma and Maria.,Consensus,Burnout and Self-Perceived Stress in Workers in Essential Services after the Impact of Hurricanes Irma and Maria,"Edline M Morales-Gómez, 2022",Research study,163 employees of the electric company aged 21 years and older,Puerto Rico,Workers; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,None,,,
,3939,Garfin 2022,Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents.,Consensus,Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents,"Garfin, 2022",Research study,Florida residents,Florida,No,Mental health,Storm,None,,,Demonstrates that repeated exposure to extreme weather events had adverse effects on mental health and includes markers of those negative effects.
,2958,Garcia 2024,Wildfires and social media discourse: exploring mental health and emotional wellbeing through Twitter.,Consensus,Wildfires and social media discourse: exploring mental health and emotional wellbeing through Twitter,"Garcia, 2024",Research study,Twitter users,CA,No,Mental health,Fire,Local,identify concerns issues via Twitter,,"data can be used by public health
authorities to launch targeted media campaigns in areas and hours where users are more active. Such campaigns can raise awareness about mental health during disasters and connect individuals with relevant resources. The effectiveness
of these campaigns can be enhanced by tailoring outreach efforts based on
prevalent issues highlighted by users."
,3928,Uibel 2022,Association of ambient extreme heat with pediatric morbidity: a scoping review.,Consensus,Association of Ambient Extreme Heat with Pediatric Morbidity: A Scoping Review,"Uibel, 2023",Systematic review,,Global,Children,Cardiovascular; Pulmonary,Heat,None,,,Provides a view of current evidence on pediatric morbidity related to extreme heat.
,2812,Ansah 2024,Health systems response to climate change adaptation: a scoping review of global evidence.,Consensus,Health systems response to climate change adaptation: a scoping review of global evidence,"Ansah, 2024",Systematic review,US,US,No,Mental health,Heat; Flood; Water contamination; Food contamination,Local,Health System Adaptation,,"Discusses a multitude of policy options for many levels of government, could be used to inform a number of policies."
,2662,Kuhn 2024,Improving Wildfire Readiness Among Patients With Chronic Obstructive Pulmonary Disease and Asthma: Applying a Population Health Approach to Climate Change.,Consensus,Improving Wildfire Readiness Among Patients With Chronic Obstructive Pulmonary Disease and Asthma: Applying a Population Health Approach to Climate Change,Kuhn 2024,,,,Workers; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Pulmonary,Fire; Air quality,Local,UCDH developed the Wildfire Population Health Approach,Air Quality Index (AirNow website); Healthy Places Index scores for California zip codes and the Area Deprivation Index scores for non-California zip codes,"to improve diagnostics at UCDH, near
continuous wildfire smoke exposure risk by zip code (as measured by the AQI) is integrated into the electronic health records. Additionally, data are obtained 
from the Healthy Places Index scores for California zip codes and the Area Deprivation Index scores for non-
California zip codes. Together, these integrated data help identify patients 
living in regions with active fires or smoke exposure, where the risk of disease exacerbation is high."
,3828,Mirabelli 2022,Wildfire smoke and symptoms affecting mental health among adults in the U.S. state of Oregon.,Consensus,Wildfire smoke and symptoms affecting mental health among adults in the U.S. state of Oregon,"Maria C. Mirabelli, 2022",Research study,5807 adults who responded to the 2018 Behavioral Risk Factor Surveillance System’s depression and anxiety module,US,No,,Fire; Air quality,None,,"2018 Behavioral Risk Factor Surveillance System’s 
depression and anxiety module, Hazard Mapping System",
,3536,Schulte 2023,Updated assessment of occupational safety and health hazards of climate change.,Consensus,Updated assessment of occupational safety and health hazards of climate change,"P.A. Schulte, 2023",Government paper or tool,,,Workers; Socially-vulnerable (e.g. low wealth),,Heat; Flood; Drought; Storm; Fire; Air quality; Other: UV radiation,Local; Other: employer,,,
,3774,Chang 2022,"Aging Hearts in a Hotter, More Turbulent World: The Impacts of Climate Change on the Cardiovascular Health of Older Adults.",Consensus,"Aging Hearts in a Hotter, More Turbulent World: The Impacts of Climate Change on the Cardiovascular Health of Older Adults","Chang, 2022",Systematic review,Older adults,Global,Elderly ,Cardiovascular,Heat; Storm; Air quality,None,,,Provides personal and policy-level interventions to protect older adults from climate change related cardiovascular disease threats.
,3770,Lakhoo 2022,The Effect of High and Low Ambient Temperature on Infant Health: A Systematic Review.,Consensus,"The Effect of High and Low Ambient Temperature on Infant
Health: A Systematic Review","Darshnika Pemi Lakhoo, 2022",Systematic review,,Global,Children,Pulmonary; Other: Mortality,Heat,None,,"MEDLINE (Pubmed), Embase, CINAHL Plus, and Global Health",
,3003,Smith 2024,Progress with the Learning Health System 2.0: a rapid review of Learning Health Systems' responses to pandemics and climate change.,Consensus,"Progress with the Learning Health System 
2.0: a rapid review of Learning Health Systems’ responses to pandemics and climate change",Smith 2024,Systematic review,,,People w/pre-existing condition ,,,Local; Other: health systems,health systems should adapt Learning Health Systems for climate change,,"Learning Health System 2.0 approach appears well-suited to responding to the rapidly changing and uncertain conditions of a pandemic, and, by extension, to preparing health systems for the effects of climate change. "
,4169,Smiley 2022,Multi-scalar and multi-dimensional conceptions of social capital and mental health impacts after disaster: the case of Hurricane Harvey.,Consensus,Multi-scalar and multi-dimensional conceptions of social capital and mental health impacts after disaster: the case of Hurricane Harvey,"Smiley, 2021",Research study,Residents,Rural and Urban Texas,No,Mental health,Storm,Local; Other: Individual,Stronger community engagement,,
,3740,Wortzel 2022,Perspectives on Climate Change and Pediatric Mental Health: a Qualitative Analysis of Interviews with Researchers in the Field.,Consensus,Perspectives on Climate Change and Pediatric Mental Health: a Qualitative Analysis of Interviews with Researchers in the Field,"Wortzel, 2022",Systematic review,Individuals,Worldwide,Children,Mental health,Flood; Storm,Local; Other: Individual,School and parent intervention,,
,3096,Schumann 2023,Addressing Global Environmental Challenges to Mental Health Using Population Neuroscience: A Review.,Consensus,Addressing Global Environmental Challenges to Mental Health Using Population Neuroscience,"Schumann, 2023",Research study,European citizens,Europe/Global,No,Mental health,Heat; Storm,None; Other,,,Outlines research program looking to develop biomarkers and interventions to improve environment related mental health.
,3216,Treble 2023,Child and Adolescent Psychological Reactions to Climate Change: A Narrative Review Through an Existential Lens.,Consensus,Child and Adolescent Psychological Reactions to Climate Change: A Narrative Review Through an Existential Lens,Treble,Systematic review,Youth,Worldwide,Children,Mental health,Heat; Flood; Drought; Storm; Fire; Air quality,None; Other: States that some theories should be explored further,,,
